go:0000001 | distribution_of | mitochondria
go:0010116 | activates_or_increases_frequency_rate_or_extent | abscisic_acid_formation
go:0010117 | protection_mechanism_used_by | plants
go:0010117 | protection_mechanism_used_by | cyanobacteria
go:0010117 | used_under_conditions_of | excess_energy_absorption
go:0010117 | consequence_of | light_reactions_of_photosynthesis
stomatal_conductance | measuring_rate_of_passage_of | water_vapor
opening_or_closing_of_stomata | related_to | stomatal_conductance
go:0010118 | directly_related_to | stomatal_conductance
stomatal_conductance | measuring_rate_of_passage_of | carbon_dioxide
opening_or_closing_of_stomata | process_of | go:0010118
go:0010119 | modulates | stomatal_movement_rate
go:0010119 | modulates | stomatal_movement_extent
go:0010119 | modulates | stomatal_movement_frequency
go:0010120 | results_in_formation_of | camalexin
camalexin | is_a | indole_phytoalexin
go:0010121 | has_product | proline
ornithine | is_intermediate_in_breakdown_of | arginine
go:0010121 | has_product | ornithine
go:0010121 | results_in_breakdown_of | arginine
proline | is_product_of_breakdown_of | arginine
arginine | results_in | alanine
ornithine | intermediate_in | alanine
go:0010122 | results_in_breakdown_of | arginine
arginine | results_in | ornithine
go:0010124 | results_in | breakdown_of_phenylacetate
go:0010124 | involves | chemical_reactions_and_pathways
mycothiol | serves_similar_functions_to | glutathione
pseudodisaccharide | consists_of | d-glucosamine
actinomycetes | includes | mycobacteria
pseudodisaccharide | consists_of | myo-inositol
mycothiol | produced_in | actinomycetes
go:0010125 | consists_of | n-acetyl-l-cysteine
n-acetyl-l-cysteine | linked_to | pseudodisaccharide
mycothiol | serves_similar_functions_to | glutathione
pseudodisaccharide | consists_of | d-glucosamine
actinomycetes | includes | mycobacteria
go:0010126 | involves | mycothiol
pseudodisaccharide | consists_of | myo-inositol
mycothiol | consists_of | pseudodisaccharide
mycothiol | produced_in | actinomycetes
mycothiol | consists_of | n-acetyl-l-cysteine
go:0010127 | has_reactant | alkylating_agent
go:0010127 | has_reactant | mycothiol
go:0010127 | has_product | s-conjugate_of_mycothiol
go:0010127 | has_product | mercapturic_acid
benzoate | ligation_to | coenzyme_a
go:0010128 | results_in | breakdown_of_benzoate
coenzyme_a | forms | benzoyl-coa
benzoyl-coa | broken_by | aerobic_pathway
benzoyl-coa | broken_by | anaerobic_pathway
cyclohexane-1-carboxylate | is_a | alicyclic_acid
go:0010129 | breaks_down | cyclohexane-1-carboxylate
cyclohexane-1-carboxylate | breaks_down_in_absence_of | oxygen
ethylbenzene | has_part | ethyl_group
ethylbenzene_breakdown | occurs_in_absence_of | oxygen
go:0010130 | is_definition_of | ethylbenzene_breakdown
ethylbenzene | is_a | benzene_derivative
go:0010133 | has_reactant | l-proline
l-proline | breakdown_into | l-glutamate
go:0010133 | has_product | l-glutamate
adenylyl-sulfate_reductase | catalyzes | reduction_of_adenylyl-sulfate_to_sulfite
inorganic_sulfate | is_activated_and_reduced_and_incorporated_into | sulfated_compounds
go:0010134 | involves_pathway | inorganic_sulfate_metabolism
adenylyl-sulfate | is_activated_form_of | inorganic_sulfate
adenylyl-sulfate | is_reduced_to | sulfite
ureide | is_organic_form_of | nitrogen
nitrogen | is_in | nitrogen_transporting_plants
go:0010136 | results_in | breakdown_of_ureide
ammonium | is_released_from | breakdown_of_ureide
nitrogen | is_in | nitrogen_fixing_plants
breakdown_of_ureide | results_in_release_of | ammonium
nitrogen | is_in | nitrogen_fixing_and_transporting_plants
ureide | is_organic_form_of | nitrogen
imp | is_synthesized_de_novo_during | nitrogen_fixation
roots | synthesizes | imp
go:0010137 | results_in_formation_of | ureide
nitrogen_fixation | occurs_in | roots
pyrimidine_nucleotide_breakdown | produces | pyrimidine_bases
go:0010139 | is_a | pathway
pyrimidine_nucleotide_breakdown | produces | pyrimidine_deoxyribonucleotides
pyrimidine_bases | converted_back_to | pyrimidine_deoxyribonucleotides
salvage_pathway | important_when_absent | de_novo_pyrimidine_deoxyribonucleotide_biosynthesis
go:0010142 | converts | acetyl-coa
farnesyl_diphosphate | substrate_for | biosynthesis_of_sterols
cuticle | located_in | plants
substance_nearly_impervious_to_water | constitutes | cuticle
cutin | combined_with | cellulose
go:0010143 | results_in_formation_of | cutin
cutin_and_cellulose | forms | substance_nearly_impervious_to_water
polysaccharide | consists_of | fructose_residues
go:0010146 | involves_formation_of | fructan
fructan | is_a | polysaccharide
leaves | involved_in | release_of_water
go:0010148 | is_defined_as | release_of_water_by_the_plant_into_the_air_as_water_vapor_mainly_through_leaves
plant | releases_water_vapor | air
leaf_development_stage | involves | programmed_degradation_of_macromolecules
go:0010150 | is_defined_as | leaf_development_stage
leaf_development_stage | involves | nutrient_recycling
go:0010151 | precedes | chloroplast_division
go:0010152 | is_defined_as | microgametogenesis
microgametogenesis | occurs_after | trinucleate_stage
trinucleate_stage | results_in | viable_pollen_grains
proton_transport | mediated_by | agent
proton_transport | occurs_in | cell
agent | example_of | transporter
agent | example_of | pore
proton_transport | occurs_between | cells
go:0010155 | modulates | proton_transport
go:0010157 | results_in_change_in_state_or_activity | organism
go:0010157 | as_result_of_stimulus | chlorate
go:0010157 | results_in_change_in_state_or_activity | cell
go:0010158 | enables | cell_fate_reversal
go:0010158 | enables | cell_differentiation_into_abaxial_cell
go:0010159 | involves | information_perception
go:0010159 | involves | information_generation
go:0010159 | results_in | correct_positioning
animal_organ_primordia | are_formed_at | correct_position
go:0010160 | is_a | regionalization_process
restriction_of_organogenesis | to | limited_spatial_domain
regionalization_process | results_in | restriction_of_organogenesis
regionalization_process | specifies | animal_organ_primordium_boundaries
restriction_of_organogenesis | keeps_organ | separate_from_surrounding_tissues
seed_dormancy | occurs_in | seed
seed_dormancy | is_a | suspension_of_physiological_activity
seed_dormancy | involves | embryo
special_conditions | include | scarification
seed_dormancy | requires | special_conditions
special_conditions | include | specific_temperature
go:0010162 | is_a | dormancy_process
special_conditions | include | leaching_of_inhibitors
change_in_state_or_activity | occurs_in | organism
change_in_state_or_activity | occurs_in | cell
go:0010164 | caused_by | cesium_stimulus
go:0010164 | results_in | change_in_state_or_activity
x-ray | has_wavelength_range | 10_nanometers_to_100_picometers
x-ray_radiation | is_a_form_of | electromagnetic_radiation
x-ray | has_frequency_range | 30_phz_to_3_ehz
change_in_state_or_activity_of_a_cell_or_an_organism | caused_by | x-ray_radiation
go:0010165 | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
c18_fatty_acids | part_of | wax
go:0010166 | involves | wax
wax | contains | c18_fatty_acids
wax | contains | c16_fatty_acids
c16_fatty_acids | part_of | wax
go:0010167 | as_a_result_of_stimulus | nitrate_stimulus
go:0010167 | results_in_change_in_state_or_activity | organism
go:0010167 | results_in_change_in_state_or_activity | cell
novel_compartment | found_in | plant_cells
novel_compartment | surrounded_with | ribosomes
novel_compartment | has_shape | characteristic_shape
novel_compartment | found_in | brassicaceae_species
novel_compartment | found_in | arabidopsis_thaliana
novel_compartment | has_size | 10_mm_long
go:0010168 | derived_from | er
novel_compartment | has_size | 0.5_mm_wide
large_multiprotein_complex | composed_of | myrosinase-associated_proteins
large_multiprotein_complex | composed_of | mbp-related_proteins
large_multiprotein_complex | composed_of | 70-kDa_myrosinase
large_multiprotein_complex | identified_in | brassica_napus_seeds
large_multiprotein_complex | composed_of | myrosinase-binding_proteins
go:0010169 | part_of | large_multiprotein_complex
large_multiprotein_complex | composed_of | 5-kDa_myrosinase
go:0010170 | catalyzes_synthesis_of | adp-glucose_and_pyrophosphate
go:0010170 | is_a | complex
complex | composed_of | identical_subunit
bacteria | has_part | enzyme_complex
complex | composed_of | small_subunit
enzyme_complex | composed_of | four_identical_subunits
plants | has_part | complex
complex | composed_of | large_subunit
go:0010171 | involves | soma
go:0010171 | involves | anatomical_structures
anatomical_structures | are_part_of | embryonic_soma
anatomical_structures | are_generated_and_organized_by | go:0010172
go:0010174 | enables | transfer_of_nucleoside
transfer_of_nucleoside | occurs_across | membrane
transfer_of_nucleoside | occurs_up_a | concentration_gradient
go:0010176 | has_product | co2
go:0010176 | has_reactant | phytyl_diphosphate
go:0010176 | has_product | diphosphate
go:0010176 | has_reactant | h+
go:0010176 | has_product | 2-methyl-6-phytyl-1,4-benzoquinone
go:0010176 | has_reactant | homogentisate
go:0010177 | has_reactant | an_omega-(methylsulfanyl)-2-oxoalkanoate
go:0010177 | has_reactant | acetyl-coa
go:0010177 | has_product | a_2-(omega-methylsulfanyl)alkylmalate
go:0010177 | has_product | h+
go:0010177 | has_product | coa
go:0010177 | has_reactant | h2o
cleavage_of_amide_bond | between | IAA_(auxin)_and_conjugated_amino_acid
go:0010178 | catalysis_of | cleavage_of_amide_bond
go:0010179 | has_product | l-alanine
go:0010179 | has_reactant | h2o
go:0010179 | has_product | indole-3-acetate
go:0010179 | has_reactant | indole-3-acetyl-alanine
go:0010180 | binds_to | thioglucosidase_enzyme
flavin_mono_nucleotide | is_prosthetic_group_of | flavoprotein_oxidoreductase_enzymes
flavin_mono_nucleotide | is_coenzyme_of | flavoprotein_oxidoreductase_enzymes
go:0010181 | binds_to | flavin_mono_nucleotide
fructose | is_a | mono-or_disaccharide
genes | control | metabolic_and_developmental_processes
metabolic_and_developmental_processes | are_controlled_by | genes
go:0010182 | triggers_expression_of | genes
sucrose | is_a | disaccharide
change_in_level | triggers | expression_of_genes
glucose | is_a | mono-or_disaccharide
pollen_tube_growth | directed_towards | female_gametophyte
go:0010183 | part_of | pollen_tube_growth
adenine-derived_compounds | function_in | plants
go:0010184 | directed_movement_of | cytokinins
adenine-derived_compounds | function_as | growth_regulators
cytokinins | movement_within | cell
cytokinins | movement_out_of | cell
cytokinins | class_of | adenine-derived_compounds
cytokinins | movement_into | cell
cytokinins | movement_between | cells
pore | agent_for | directed_movement_of_cytokinins
transporter | agent_for | directed_movement_of_cytokinins
go:0010185 | modulates | frequency
go:0010185 | modulates | rate
go:0010185 | modulates | cellular_defense_response
go:0010185 | modulates | extent
go:0010186 | activates_or_increases_frequency_rate_or_extent_of | cellular_defense_response
go:0010187 | stops_or_prevents_or_reduces | rate_of_seed_germination
go:0010187 | stops_or_prevents_or_reduces | extent_of_seed_germination
go:0010187 | stops_or_prevents_or_reduces | frequency_of_seed_germination
go:0010187 | stops_or_prevents_or_reduces | seed_germination
microbial_phytotoxin | stimulus_for | go:0010188
microbial_phytotoxin | toxic_to | plants
microbial_phytotoxin | produced_by | microbes
microbial_phytotoxin | is_a | chemical_substance
go:0010188 | results_in_change_in | state_or_activity_of_a_cell_or_an_organism
go:0010189 | results_in_formation_of | vitamin_e
alpha-tocopherol | is | biological_antioxidant
alpha-tocopherol | is_active_form_in | humans
vitamin_e | includes | alpha-tocopherol
cytochrome_b6f_complex | aggregation | constituent
cytochrome_b6f_complex | translocates_protons | lumen
go:0010190 | formation_of | cytochrome_b6f_complex
cytochrome_b6f_complex | arrangement | constituent
cytochrome_b6f_complex | bonding | constituent
cytochrome_b6f_complex | transfers_electrons | oxidized_plastocyanin
cytochrome_b6f_complex | transfers_electrons | reduced_plastoquinone
cytochrome_b6f_complex | translocates_protons | stroma
mucilage | is_a | gelatinous_substance
plants | secretes | mucilage
mucilage | results_from | chemical_reactions_and_pathways
go:0010192 | definition | mucilage_formation
change_in_state_or_activity_of_a_cell_or_an_organism | as_result_of | ozone_stimulus
go:0010193 | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
go:0010196 | minimizes_generation_of | oxidizing_molecules
go:0010196 | process_by_which | excess_light_energy_absorbed_by_chlorophyll_and_not_used_to_drive_photosynthesis_is_emitted_as_heat
go:0010196 | helps_maintain | balance_between_dissipation_and_utilization_of_light_energy
go:0010196 | protects_plant_against | photo-oxidative_damage
fertilization | leads_to | endosperm_formation
endosperm | is_formed_from | fusion_nucleus
polar_nuclear_fusion | takes_place_in | ovule
polar_nuclei | contained_within | cell
angiosperm_reproduction | involves | polar_nuclear_fusion
mitotic_division | creates | polar_nuclei
go:0010197 | definition | the_merging_of_the_polar_nuclei
fusion_nucleus | gives_rise_to | endosperm
megaspore | undergoes | mitotic_division
polar_nuclei | is_a | nuclei
go:0010197 | is_a | polar_nuclear_fusion
polar_nuclear_fusion | forms | fusion_nucleus
go:0010199 | involved_in | boundary_maintenance
go:0010199 | involved_in | boundary_establishment
go:0010199 | involved_in | establishment_and_maintenance_of_boundaries
change_in_state_or_activity_of_a_cell_or_an_organism | as_result_of | chitin_stimulus
go:0010200 | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
high_irradiance_response_system | characterized_by | stronger_effects_of_continuous_than_pulsed_light
go:0010201 | results_in_change_in | cell_or_organism_state_or_activity
far_red_light | is_a | electromagnetic_radiation
high_irradiance_response_system | detects | far_red_light
low_fluence_red_light | is_defined_as | short_pulses_of_red_light_followed_by_darkness
red_light | has_wavelength_of | 580-700nm
red_light | is_a | electromagnetic_radiation
low_fluence_red_light | stimulus_for | go:0010202
go:0010202 | results_in_change_in_state_or_activity_of | cell_or_organism
low_fluence_red_light | provides_light_level_of | 0.001-0.1_mmol/m2/sec
very_low_fluence_red_light | defined_as | short_pulses_of_red_light_followed_by_darkness
red_light | has_wavelength_of | 580-700nm
red_light | is_a | electromagnetic_radiation
very_low_fluence_red_light | provides_light_levels_of | less_than_0.001_mmol/m2/sec
red_light | stimulus_for | go:0010203
go:0010203 | results_in_change_in_state_or_activity_of | cell_or_organism
photosystem_ii_complex | located_on | thylakoid_membrane
go:0010207 | part_of | photosystem_ii_complex
photosystem_ii_complex | consists_of | cofactors
photosystem_ii_complex | consists_of | polypeptides
go:0010208 | consists_of | reticulate_pollen_wall_pattern
exine | is_layer_of | reticulate_pollen_wall_pattern
reticulate_pollen_wall_pattern | consists_of | intine
intine | is_layer_of | reticulate_pollen_wall_pattern
reticulate_pollen_wall_pattern | consists_of | exine
go:0010209 | binding_to | vacuolar_sorting_signal
vacuolar_sorting_signal | acts_as | signal
go:0010210 | has_product | indole-3-acetate
go:0010210 | has_product | phenylalanine
go:0010210 | has_reactant | indole-3-acetyl-phenylalanine
go:0010210 | has_reactant | h2o
go:0010211 | has_product | l-leucine
go:0010211 | has_reactant | h2o
go:0010211 | has_product | indole-3-acetate
go:0010211 | has_reactant | indole-3-acetyl-leucine
ionizing_radiation | has_sufficient_energy_to | remove_electrons_from_atoms
ionizing_radiation | stimulus_for | go:0010212
ionizing_radiation | may_arise_from | spontaneous_decay_of_unstable_isotopes
ionizing_radiation | includes | x-rays
spontaneous_decay_of_unstable_isotopes | results_in | alpha_and_beta_particles_and_gamma_rays
go:0010212 | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
dna_repair_process | operates_under | non-photoreactivating_conditions
go:0010213 | involved_in | dna_repair_process
dna_repair_process | repairs | uv-induced_dna_damage
go:0010215 | results_in | arrangement_of_cellulose_microfibril
cellulose_microfibril | laid_down_in | orthogonal_layers
cellulose_microfibril | component_of | plant_cell_wall
cellulose_microfibril | part_of | cellulose_structures
go:0010215 | results_in | disassembly_of_cellulose_microfibril
cellulose_structures | laid_down_in | plant_cell_wall
plant_cell_wall | contains | cellulose_structures
go:0010215 | results_in | assembly_of_cellulose_microfibril
extended_exposure_to_cold_temperatures | causes | induction_of_flowering
go:0010219 | modulates | vernalization_response
vernalization_response | induced_by | extended_exposure_to_cold_temperatures
go:0010220 | activates_or_induces_rate_of | vernalization_response
flowering | caused_by | extended_exposure_to_cold_temperatures
extended_exposure_to_cold_temperatures | causes | vernalization_response
vernalization_response | causes_induction_of | flowering
extended_exposure_to_cold_temperatures | induces | flowering
vernalization_response | caused_by | extended_exposure_to_cold_temperatures
go:0010221 | stops,prevents,reduces | vernalization_response
go:0010222 | occurs_in | stem_of_vascular_plants
stem_of_vascular_plants | is_part_of | vascular_plants
shoot_apical_meristem | initiating_development_of | lateral_organs
secondary_meristems | initiated_in | axils_of_leaf_primordia
go:0010223 | gives_rise_to | secondary_shoots
secondary_shoots | originate_from | secondary_meristems
axillary_meristems | function_like | shoot_apical_meristem
go:0010224 | results_in_change_in_state_or_activity_of | cell_or_organism
uv-b_radiation | spans_wavelengths | 280_to_315_nm
go:0010225 | results_in_change_in | enzyme_production
go:0010225 | results_in_change_in | gene_expression
go:0010225 | results_in_change_in | state_or_activity_of_a_cell_or_an_organism
go:0010225 | results_in_change_in | secretion
go:0010225 | as_result_of_stimulus | uv-c_radiation
go:0010225 | results_in_change_in | movement
uv-c_radiation | spans_wavelengths | 100_to_280_nm
go:0010226 | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
change_in_state_or_activity_of_a_cell_or_an_organism | as_a_result_of | lithium_li+_ion_stimulus
go:0010227 | definition | controlled_shedding_of_floral_organs
go:0010228 | produces | reproductive_structures
vegetative_structures | includes | leaves
go:0010228 | produces | vegetative_structures
reproductive_structures | includes | flower
reproductive_structures | includes | inflorescence
inflorescence | has_stage | formation
inflorescence | has_stage | mature_structure
go:0010229 | has_outcome | progression_of_inflorescence
seed | in_state | dormant_state
go:0010231 | maintains_a | seed
directed_movement_of_substances | occurs_in | cell
go:0010232 | is_a | directed_movement_of_substances
directed_movement_of_substances | occurs_in | vascular_tissue
directed_movement_of_substances | occurs_in | vascular_membrane
phloem_transport | occurs_between | source_tissues_and_sink_tissues
go:0010233 | part_of | phloem_transport
phloem | involved_in | long_distance_transport
phloem_transport | occurs_in | phloem
sink_tissues | involved_in | long_distance_transport
source_tissues | involved_in | long_distance_transport
phloem_transport | is_a | directed_movement
substances | moved_by | phloem_transport
go:0010235 | part_of | cell_division
guard_mother_cell | gives_rise_to | stomatal_guard_cells
plastoquinone | present_in | chloroplast
plastoquinone | is_a | lipid-soluble_electron-transporting_coenzyme
go:0010236 | results_in | formation_of_plastoquinone
proline_stimulus | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
go:0010238 | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
change_in_state_or_activity_of_a_cell_or_an_organism | as_a_result_of | proline_stimulus
precursor_rnas | processed_into | mature_mrnas
transcription_of_operons | occurs_in | chloroplast_genome
processing_of_precursor_rnas | results_in | mature_mrnas
chloroplast_genome | contains | operons
precursor_rnas | arising_from | transcription_of_operons
mature_mrnas | derived_from | precursor_rnas
go:0010239 | involved_in_processing | precursor_rnas
go:0010242 | has_product | h+
go:0010242 | has_product | o2
go:0010242 | has_reactant | h2o
go:0010242 | catalysis_of_the_reaction | 2_h2o = o2 + 4_h+ + 4_e-
blue_low-fluence_system | responds_to | blue_light
blue_light | has_wavelength_between | 440_and_500nm
go:0010244 | results_in_change_in_state_or_activity_of | cell_or_organism
blue_low-fluence_system | responds_to | blue_light_at_or_below_0.1_micromols/m2
blue_light | is_a | electromagnetic_radiation
excitation_of_blue_low_fluence_system | induces_transcription_of | nuclear_and_plastid_coded_genes
male_meiotic_cytokinesis | occurs_in | plants
go:0010245 | part_of | formation_of_radial_microtubular_systems
formation_of_radial_microtubular_systems | occurs_during | male_meiotic_cytokinesis
go:0010246 | results_in | formation_of_rhamnogalacturonan_i
pectin | is_a | rhamnose-rich_pectic_polysaccharide
rhamnogalacturonan_i | component_of | pectin
phosphate_ion_stimulus | converted_into | molecular_signal
cell | receives | phosphate_ion_stimulus
series_of_events | involves | phosphate_ion_stimulus
go:0010247 | involves | series_of_events
series_of_events | involves | molecular_signal
go:0010248 | involves | ions
go:0010248 | involves | electrochemical_gradient
go:0010248 | involves | pore
go:0010248 | involves | membrane
go:0010248 | involves | transporter
go:0010249 | involves | auxin_conjugates
auxin_conjugates | is_a | bound_form_of_auxin
s-methyl-methionine | donates_methyl_group_to | homocysteine
go:0010250 | results_in_formation_of | s-methyl-methionine
go:0010250 | involves | smm_cycle
methionine_s-methyltransferase | catalyzes | go:0010250
s-methyl-methionine | can_be_reconverted_to | methionine
methionine | is_substrate_for | go:0010250
s-adenosyl-methionine | is_substrate_for | go:0010250
udp-l-rhamnose | composed_of | uridine_diphosphate
udp-l-rhamnose | composed_of | rhamnose
rhamnose | in_glycosidic_linkage_with | uridine_diphosphate
go:0010253 | results_in_formation_of | udp-l-rhamnose
progression_of_floral_nectaries_over_time | includes_stage | mature_structure
progression_of_floral_nectaries_over_time | includes_stage | formation
go:0010254 | specific_outcome | progression_of_floral_nectaries_over_time
change_in_level_of_mono-and_disaccharide_glucose | triggers | go:0010255
go:0010255 | triggers_expression_of | genes_controlling_metabolic_and_developmental_processes
go:0010256 | results_in | assembly
go:0010256 | results_in | disassembly
go:0010256 | results_in | arrangement
go:0010256 | carries_out_at_level | cellular_level
go:0010256 | involves | endomembrane_system
go:0010257 | is_defined_as | aggregation_arrangement_and_bonding_together_of_a_set_of_components_to_form_an_ndh_dehydrogenase_complex
ndh_dehydrogenase_complex | is_formed_from | aggregation_arrangement_and_bonding_together_of_a_set_of_components
aggregation_arrangement_and_bonding_together_of_a_set_of_components | forms | ndh_dehydrogenase_complex
go:0010258 | forms | nadh:plastoquinone_dehydrogenase_complex
nadh:plastoquinone_dehydrogenase_complex | involved_in | cyclic_electron_transport_around_photosystem_i
go:0010258 | involved_in | non-photochemical_reduction_of_plastoquinones
go:0010262 | is_a | initiation_of_somatic_embryo
somatic_embryo | arises_from | somatic_cells
somatic_embryo | is_not_derived_from | haploid_gametes
go:0010263 | results_in | formation_of_tricyclic_triterpenoid_compounds
tricyclic_triterpenoid_compounds | is_a | terpenoids
phytic_acid | is_an | animal_anti-nutrient
phytic_acid | is_a | myo-inositol_hexakisphosphate
phytic_acid | is_a | phosphate_and_mineral_storage_compound
phytic_acid | is_a_regulator_of | intracellular_signaling
go:0010264 | results_in_formation_of | phytic_acid
go:0010265 | involves | arrangement
go:0010265 | involves | bonding_together
go:0010265 | forms_complex_with | skp1-cullin/cdc53-f-box_protein_ubiquitin_ligase_complex
go:0010265 | involves | aggregation
skp1-cullin/cdc53-f-box_protein_ubiquitin_ligase_complex | is_a | protein_complex
change_in_state_or_activity_of_a_cell_or_an_organism | as_a_result_of | vitamin_b1_stimulus
go:0010266 | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
go:0010267 | leads_to_generation_of | functional_trans-acting_small_interfering_rna
functional_trans-acting_small_interfering_rna | function_like | micrnas
functional_trans-acting_small_interfering_rna | guides_cleavage_of | target_mrnas
go:0010268 | involved_in | maintenance_of_steady_state_of_brassinosteroids
go:0010269 | results_in_change_in_state_or_activity_of | cell_or_organism
selenium_ion | provides_stimulus_for | cell_or_organism
cell_or_organism | is_result_of | stimulus_from_selenium_ion
psbq | is_a | extrinsic_nuclear-encoded_polypeptide
psbp | is_a_component_of | oxygen_evolving_complex_(oec)
psbq | is_a_component_of | oxygen_evolving_complex_(oec)
psbo | is_a_component_of | oxygen_evolving_complex_(oec)
go:0010270 | is_defined_as | aggregation_arrangement_and_bonding_together_of_a_set_of_components_to_form_the_oxygen_evolving_complex_(oec)_of_photosystem_ii_on_a_thylakoid_membrane
calcium-4_manganese-5_oxide_cluster | bound_to | d1_proteins
psbp | is_a | extrinsic_nuclear-encoded_polypeptide
psbo | is_a | extrinsic_nuclear-encoded_polypeptide
calcium-4_manganese-5_oxide_cluster | bound_to | cp43_proteins
oxygen_evolving_complex_(oec) | protects | calcium-4_manganese-5_oxide_cluster
oxygen_evolving_complex_(oec) | located_on | thylakoid_membrane
go:0010271 | modulates | breakdown_of_chlorophyll
go:0010272 | results_in_change_in_state_or_activity | cell_or_organism
silver_ion | stimulus | cell_or_organism
transport_of_copper | away_from | sensitive_areas
go:0010273 | includes | transport_of_copper
compartments | purpose_is | sequestration_of_copper_ion
transport_of_copper | to | complexes
complexes | purpose_is | sequestration_of_copper_ion
go:0010273 | reduces_or_removes_toxicity_of | copper_ion
transport_of_copper | to | compartments
growth_or_movement_in_a_sessile_organism_toward_or_away_from_water | as_of | roots_of_a_plant
go:0010274 | is_definition_of | growth_or_movement_in_a_sessile_organism_toward_or_away_from_water
plastoquinone_pool | electron_acceptor_for | electron_transport
go:0010275 | involved_in | electron_transport
go:0010275 | has_electron_donor | ferredoxin(fd)
nad(p)h_dehydrogenase_complex | involved_in | electron_transport
go:0010275 | has_electron_donor | nad(p)h
go:0010276 | has_product | phytyl_monophosphate
go:0010276 | has_product | cdp
go:0010276 | has_reactant | ctp
go:0010276 | has_product | h+
go:0010276 | has_reactant | phytol
go:0010277 | has_reactant | o2
go:0010277 | has_reactant | h+
go:0010277 | has_reactant | chlorophyllide_a
go:0010277 | has_product | chlorophyllide_b
go:0010277 | has_product | h2o
go:0010277 | has_product | nadp+
go:0010277 | has_reactant | nadph
go:0010278 | contains_component | toc159
go:0010278 | contains_component | toc75
precursor_proteins | imported_in_manner | gtp_dependant_manner
precursor_proteins | imported_into | chloroplast
go:0010278 | interacts_with | precursor_proteins
go:0010278 | contains_component | toc34
go:0010279 | has_reactant | indole-3-acetic_acid
go:0010279 | has_reactant | an_amino_acid
go:0010279 | has_product | an_indole-3-acetic_acid_amide_conjugate
go:0010280 | has_reactant | udp-d-glucose
go:0010280 | has_reactant | nadph
go:0010280 | has_product | udp-l-rhamnose
go:0010280 | has_product | nadp+
go:0010280 | has_reactant | h+
go:0010280 | has_product | h2o
lytic_vacuole | develops_in | peripheral_cytoplasm
lytic_vacuole | found_during | leaf_senescence
peripheral_cytoplasm | of_cells_containing | chloroplast
lytic_vacuole | maintained_at | acidic_ph
go:0010282 | is_a | lytic_vacuole
lytic_vacuole | has_composition | different_tonoplast_composition
go:0010283 | has_reactant | nadph
go:0010283 | has_reactant | pinoresinol
go:0010283 | has_product | lariciresinol
go:0010283 | has_reactant | h+
go:0010283 | has_product | nadp+
go:0010284 | has_product | secoisolariciresinol
go:0010284 | has_reactant | h+
go:0010284 | has_reactant | nadph
go:0010284 | has_reactant | lariciresinol
go:0010284 | has_product | nadp+
go:0010285 | has_product | l-glutamate
go:0010285 | has_reactant | 2-oxoglutarate
go:0010285 | has_product | h+
go:0010285 | has_product | h2o
go:0010285 | has_reactant | ll-2,6-diaminopimelate
go:0010285 | has_product | (s)-2,3,4,5-tetrahydrodipicolinate
go:0010286 | increases_heat_tolerance_of | organism
plastoglobules | rich_in | prenylquinones
plastoglobules | rich_in | non-polar_lipids
plastoglobules | rich_in | triglycerides
plastoglobules | rich_in | plastoquinone
go:0010287 | present_in | chloroplasts
plastoglobules | associated_with | thylakoid_membranes
plastoglobules | exchange_lipids_with | thylakoids
plastoglobules | rich_in | esters
plastoglobules | rich_in | tocopherols
go:0010288 | results_in_change_in_state_or_activity_of | cell_or_organism
lead_ion_stimulus | causes | change_in_state_or_activity_of_cell_or_organism
(1->4)-linked_alpha-D-GalpA_residues | carry_acetyl_groups_on | o-3
(1->4)-linked_alpha-D-GalpA_residues | carry_acetyl_groups_on | o-2
(1->4)-linked_alpha-D-GalpA_residues | can_be_methyl-esterified_at | c-6
go:0010289 | results_in_formation_of | pectidic_homogalacturonan
pectidic_homogalacturonan | characterized_by | backbone
backbone | composed_of | (1->4)-linked_alpha-D-GalpA_residues
chlorophyll_catabolites | such_as | non-fluorescent_chlorophyll_catabolites
go:0010290 | enables | directed_movement_of_chlorophyll_catabolites
go:0010290 | enables | directed_movement_from_one_side_of_a_membrane_to_the_other
go:0010291 | has_reactant | all-trans-beta-carotene
go:0010291 | has_reactant | h+
go:0010291 | has_product | h2o
go:0010291 | has_reactant | reduced_[2fe-2s]-[ferredoxin]
go:0010291 | has_reactant | o2
go:0010291 | has_product | all-trans-zeaxanthin
go:0010291 | has_product | oxidized_[2fe-2s]-[ferredoxin]
go:0010292 | has_product | gtp(in)
go:0010292 | has_product | gdp(out)
go:0010292 | has_reactant | gtp(out)
go:0010292 | has_reactant | gdp(in)
go:0010293 | has_reactant | o2
go:0010293 | has_reactant | h2o
go:0010293 | has_product | h2o2
go:0010293 | has_reactant | 2-cis-(+)-abscisic_aldehyde
go:0010293 | has_product | h+
go:0010293 | has_product | 2-cis-(+)-abscisate
go:0010294 | has_reactant | udp-d-glucose
